Size [KB],Latency per mem access [ns]
0,0.097479
5,0.114165
10,0.113256
16,0.112859
22,0.113911
29,0.114855
36,0.15384
45,0.191253
54,0.259972
64,0.344367
75,0.444094
88,0.268294
101,0.28194
116,0.927857
132,0.324516
150,0.299489
170,0.408716
192,0.308776
216,0.312225
242,0.315436
271,0.414552
303,0.352377
338,0.370492
376,0.567873
418,0.413101
465,0.445219
516,0.498857
573,0.661779
635,0.744995
703,0.794787
778,0.862112
860,0.903745
951,0.93409
1051,0.906098
1161,0.856444
1282,0.862365
1415,0.945863
1561,0.883726
1722,0.882975
1898,0.903383
2093,0.904368
2307,0.956686
2542,0.92109
2801,0.921061
3086,0.917894
3400,0.922075
3744,0.933335
4123,0.928493
4541,0.909127
4999,0.903073
5504,0.960794
6059,0.991066
6670,0.91608
7341,1.01277
8080,0.93899
8893,0.876179
9787,0.965832
10771,1.00901
11852,1.06623
13042,0.982476
14351,1.09958
15791,1.74866
17375,1.73429
19117,1.87647
21034,1.83015
23142,1.93601
25461,1.89579
28011,1.85913
30817,1.85353
33904,1.90655
37299,1.96079
41034,1.88587
45142,1.84822
49660,1.85524
54631,1.88366
60099,1.88654
66114,1.94235
72730,1.92992
80008,2.02999
88013,1.85435
96819,1.85936
106506,1.88233
117161,1.85936
128882,1.88304
141775,1.92567
